subject activity tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tGravityAccMag-mean() tGravityAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroMag-mean() tBodyGyroMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAcc-meanFreq()-X fBodyAcc-meanFreq()-Y fBodyAcc-meanFreq()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyAccJerk-meanFreq()-X fBodyAccJerk-meanFreq()-Y fBodyAccJerk-meanFreq()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyGyro-meanFreq()-X fBodyGyro-meanFreq()-Y fBodyGyro-meanFreq()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyAccMag-meanFreq() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyAccJerkMag-meanFreq() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() fBodyBodyGyroMag-meanFreq() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-std() fBodyBodyGyroJerkMag-meanFreq()
1 LAYING 0.2215982439399999 -0.0405139534294000 -0.1132035535800000 -0.9280564692000000 -0.8368274056199999 -0.8260614016280000 -0.2488817982800000 0.7055497734599999 0.4458177197999999 -0.8968300184000000 -0.9077200067600002 -0.8523662902200003 0.0810865342000000 0.0038382040088000 0.0108342363610000 -0.9584821119999998 -0.9241492736000002 -0.9548551108000001 -0.0165530939780000 -0.0644861240880000 0.1486894362600000 -0.8735438678199999 -0.9510904401999999 -0.9082846626000003 -0.1072709491920000 -0.0415172868900000 -0.0740501211000000 -0.9186085207999996 -0.9679072436000002 -0.9577901595999997 -0.8419291524999997 -0.7951448638600001 -0.8419291524999997 -0.7951448638600001 -0.9543962646000004 -0.9282456284000001 -0.8747595480000001 -0.8190101697600002 -0.9634610300000003 -0.9358409827999999 -0.9390990524000000 -0.8670652051799997 -0.8826668762000002 -0.9244374346000002 -0.8336255561000001 -0.8128915594400002 -0.1587926705080000 0.0975348415860000 0.0894376552199999 -0.9570738837999997 -0.9224626098000002 -0.9480609042000000 -0.9641607085999999 -0.9322178703999999 -0.9605869872000002 0.1324190923980000 0.0245136189560000 0.0243879452800000 -0.8502491745859997 -0.9521914947999995 -0.9093027210000000 -0.8822964508000003 -0.9512320494000001 -0.9165825082000002 -0.0035467958560000 -0.0915291308820000 0.0104581256600000 -0.8617676480999999 -0.7983009403999999 0.0864085629400000 -0.9333003608000001 -0.9218039755999997 0.2663911541600000 -0.8621901854000000 -0.8243194396799999 -0.1397750127000000 -0.9423669466000000 -0.9326606676000001 0.1764859070799999
1 SITTING 0.2612375654255319 -0.0013082876517021 -0.1045441822553192 -0.9772290082978722 -0.9226186419148934 -0.9395862910638298 0.8315099334042553 0.2044115926808510 0.3320437027659575 -0.9684571457446807 -0.9355170559574469 -0.9490409331914895 0.0774825199574468 -0.0006191027851064 -0.0033677923502128 -0.9864307112765959 -0.9813719653191492 -0.9879108044680853 -0.0453500565127660 -0.0919241549361702 0.0629313811914893 -0.9772112831914895 -0.9664738953191490 -0.9414259208510638 -0.0936793807234042 -0.0402118124255319 -0.0467026270000000 -0.9917315921276594 -0.9895180685106383 -0.9879358063829784 -0.9485367861702126 -0.9270784187234044 -0.9485367861702126 -0.9270784187234044 -0.9873641955319147 -0.9841200240425533 -0.9308924900000001 -0.9345318404255319 -0.9919763412765961 -0.9883087285106380 -0.9796412387234041 -0.9440845504255315 -0.9591848891489364 -0.9764123131914894 -0.9172750063829787 -0.9344695580851065 -0.0495135975489361 0.0759460768510638 0.2388298701489362 -0.9865970225531915 -0.9815794670212766 -0.9860530923404256 -0.9874929944680853 -0.9825139095744683 -0.9883391848936172 0.2566108235680851 0.0475437839595744 0.0923920032553192 -0.9761614640425531 -0.9758385853191489 -0.9513155444680849 -0.9779042270212767 -0.9623450425531918 -0.9439178410638295 0.1891530212608510 0.0631270669787234 -0.0297839207446808 -0.9477829225531919 -0.9284448017021276 0.2366550116808510 -0.9852621268085107 -0.9816061774468084 0.3518522019574469 -0.9584355893617021 -0.9321983748936171 -0.0002621867170213 -0.9897975472340427 -0.9870496172340425 0.1847759280851064
1 STANDING 0.2789176290566038 -0.0161375901037736 -0.1106018177358491 -0.9957599015094339 -0.9731900564150945 -0.9797758769811319 0.9429520003773585 -0.2729838322641509 0.0134905823226415 -0.9937629850943397 -0.9812259579245282 -0.9763240635849056 0.0753766542264151 0.0079757309283019 -0.0036852495470943 -0.9946045422641507 -0.9856487324528300 -0.9922511773584908 -0.0239877347979245 -0.0593972209811321 0.0748007510000000 -0.9871919466037733 -0.9877344400000001 -0.9806456269811319 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.9929451069811320 -0.9951379173584900 -0.9921084671698113 -0.9842782073584903 -0.9819429288679247 -0.9842782073584903 -0.9819429288679247 -0.9923677905660376 -0.9930962094339622 -0.9764937928301886 -0.9786900286792451 -0.9949667905660378 -0.9947332386792452 -0.9952499326415092 -0.9770708477358492 -0.9852970986792453 -0.9960283450943397 -0.9722931020754718 -0.9779372596226418 0.0865153619088680 0.1174789487188679 0.2448585857924528 -0.9946307973584907 -0.9854187045283019 -0.9907521660377357 -0.9950737592452830 -0.9870182267924530 -0.9923498181132073 0.3141829401509434 0.0391618954943396 0.1385814787490566 -0.9863867860377360 -0.9889844558490567 -0.9807731228301888 -0.9874971286792452 -0.9871077277358491 -0.9823453299999996 -0.1202930206037736 -0.0447191978169811 0.1006076351396226 -0.9853563611320757 -0.9823138047169808 0.2845552907735850 -0.9925424775471692 -0.9925360033962264 0.4222201022641510 -0.9846176233962267 -0.9784660720754719 -0.0286057725328302 -0.9948153769811323 -0.9946711232075470 0.3344987343018867
1 WALKING 0.2773307587368422 -0.0173838185273684 -0.1111481035473684 -0.2837402588421053 0.1144613367473684 -0.2600279022105264 0.9352232014736839 -0.2821650212631580 -0.0681028640000000 -0.9766096425263163 -0.9713059614736843 -0.9477172261052635 0.0740416333157895 0.0282721095884210 -0.0041684061778947 -0.1136156024357895 0.0670025007684211 -0.5026997885263159 -0.0418309635260000 -0.0695300462115789 0.0849448173042105 -0.4735354858947368 -0.0546077686594737 -0.3442666294736842 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.2074218547578947 -0.3044685106315789 -0.4042554526315790 -0.1369711765568421 -0.2196886456315789 -0.1369711765568421 -0.2196886456315789 -0.1414288090315789 -0.0744717500625263 -0.1609795525368421 -0.1869783645263157 -0.2987036790842104 -0.3253248788947367 -0.2027943063263158 0.0897127264021053 -0.3315601177894736 -0.3191347195789474 0.0560400068460000 -0.2796867514947368 -0.2075483744947368 0.1130936461031579 0.0497265196172632 -0.1705469645495790 -0.0352255241130632 -0.4689992246315791 -0.1335866063263158 0.1067398571360000 -0.5347134404210525 -0.2092619733768422 -0.3862371432105264 -0.1855302812442106 -0.3390321971157894 -0.1030594164347368 -0.2559409403157895 -0.5166919387368424 -0.0335081597884210 -0.4365622274736843 0.0147844986621053 -0.0657746190010526 0.0007733215643158 -0.1286234506294737 -0.3980325868421052 0.1906437244000000 -0.0571194000343157 -0.1034924030021052 0.0938221807027368 -0.1992525689863158 -0.3210179538947369 0.2688443675258947 -0.3193085937789475 -0.3816019117894739 0.1906634487936843
1 WALKING_DOWNSTAIRS 0.2891883204081634 -0.0099185046102041 -0.1075661909081632 0.0300353383483878 -0.0319359434489796 -0.2304342132040817 0.9318744189795917 -0.2666103389795918 -0.0621199585938775 -0.9505598116326530 -0.9370186589795920 -0.8959396951020407 0.0541553164897959 0.0296504490408163 -0.0109719730183673 -0.0122838605448980 -0.1016013906408163 -0.3457350323265306 -0.0350781902989796 -0.0909371290204081 0.0900850142030612 -0.4580305429387757 -0.1263491949387755 -0.1247024542428571 -0.0739592036271429 -0.0439902783367347 -0.0270461061061225 -0.4870273422448981 -0.2388248275306123 -0.2687614802428572 0.0271882914106122 0.0198843506265306 0.0271882914106122 0.0198843506265306 -0.0894474807979592 -0.0257877197081633 -0.0757412543673470 -0.2257243680612246 -0.2954638433469388 -0.3065106455306122 0.0382291831510204 0.0015499078359184 -0.2255744716938776 0.0243308391387755 -0.1129637399530612 -0.2979278946938776 -0.3073951986877552 0.0632200839346939 0.2943227008106123 -0.0276638676122449 -0.1286671576489796 -0.2883347357142858 -0.0863278966402041 -0.1345800088775510 -0.4017214642857143 -0.2531643449183674 -0.3375897012244897 0.0093722388918367 -0.3524496313632653 -0.0557022524693878 -0.0318694271979592 -0.4954224861020409 -0.1814147286571429 -0.2384435653061224 -0.1004537290408163 0.0825511487183674 -0.0756762067714286 0.0965845343040816 -0.1865303010734694 0.1191871427679592 0.0262184949326531 -0.1040522607265306 0.0764915474326530 -0.1857202857448979 -0.3983503901224488 0.3496138954693877 -0.2819633591775511 -0.3919198766122449 0.1900007061651020
1 WALKING_UPSTAIRS 0.2554616896226415 -0.0239531492643396 -0.0973020020943396 -0.3547080250943396 -0.0023202650169811 -0.0194792388471698 0.8933510975471697 -0.3621533643396225 -0.0754029397547170 -0.9563670279245280 -0.9528492332075472 -0.9123794103773581 0.1013727299226415 0.0194863076188679 -0.0455625449113208 -0.4468438877358490 -0.3782744260377358 -0.7065935309433963 0.0505493797547170 -0.1661700150886793 0.0583595463981132 -0.5448711045283020 0.0041051837981132 -0.5071686749056604 -0.1222327680113207 -0.0421485884509434 -0.0407125527654717 -0.6147865084905660 -0.6016966562264148 -0.6063320022641508 -0.1299276307358490 -0.3249709292452832 -0.1299276307358490 -0.3249709292452832 -0.4665034462264152 -0.4789916220754717 -0.1267355899698113 -0.1486193180528302 -0.5948828650943396 -0.6485530443396228 -0.4043217841509434 -0.1909767208113207 -0.4333497020754716 -0.3374281886792453 0.0217695106566038 0.0859565543849057 -0.4187350003773584 -0.1606972135169812 -0.5201147935849056 -0.4798752456603774 -0.4134445875471699 -0.6854743539622641 -0.4619070258490567 -0.3817770652830189 -0.7260402007547171 -0.3770231283018868 -0.5094955316981131 -0.5511042841509434 -0.4926116679245283 -0.3194746090566038 -0.4535972130188680 -0.5658924907547169 0.1515389055660377 -0.5717078400000000 -0.1874502477377358 -0.4735747866037735 -0.1333739042584906 -0.3523959447169811 -0.4162601015094337 -0.0977433496415094 -0.4426521624528303 -0.5330598537735850 0.0853524091547170 -0.3259614573962265 -0.1829855182641509 -0.2193033761105659 -0.6346650820754718 -0.6939305215094339 0.1142773424547170
2 LAYING 0.2813734039583333 -0.0181587397583333 -0.1072456104166667 -0.9740594647916666 -0.9802773987500002 -0.9842332968749997 -0.5097542381250001 0.7525366393750000 0.6468348795833333 -0.9590144414583336 -0.9882118652083333 -0.9842304181250001 0.0825972511666666 0.0122547884518750 -0.0018026489562500 -0.9858721687500002 -0.9831725412500001 -0.9884420143750002 -0.0184766067500000 -0.1118008245833333 0.1448828461041667 -0.9882752329166670 -0.9822916089583335 -0.9603065604166668 -0.1019741342083333 -0.0358590176083333 -0.0701783020833333 -0.9932358491666671 -0.9895675379166665 -0.9880358212500000 -0.9774354852083330 -0.9728739129166665 -0.9774354852083330 -0.9728739129166665 -0.9877416960416666 -0.9855180762500001 -0.9500115695833333 -0.9611640539583334 -0.9917670741666664 -0.9897180952083335 -0.9767250597916665 -0.9798008779166661 -0.9843809818750001 -0.9732464820833332 -0.9810251056250000 -0.9847921850000003 -0.1464827925916667 0.2572894654999999 0.4025325533958335 -0.9858136308333331 -0.9827682504166665 -0.9861971345833335 -0.9872502558333335 -0.9849873929166665 -0.9893453685416667 0.1598083285638750 0.1212064240125000 0.1905582181458334 -0.9864311425000000 -0.9833216354166666 -0.9626718875000004 -0.9888606858333336 -0.9819106164583338 -0.9631742222916668 0.1026113193812500 0.0422806683937500 0.0552985986479167 -0.9751101964583334 -0.9751213879166666 0.2662982125000000 -0.9853741147916666 -0.9845684891666669 0.3417585745000000 -0.9721129727083332 -0.9610983787500000 0.0185644722312500 -0.9902487022916667 -0.9894926604166666 0.2648015053958334
2 SITTING 0.2770873517391303 -0.0156879937282609 -0.1092182724565217 -0.9868222795652174 -0.9507044991304349 -0.9598281717391304 0.9404772730434781 -0.1056300244987826 0.1987267687608695 -0.9799887608695651 -0.9567502730434780 -0.9544158730434783 0.0722564387173913 0.0116954511323913 0.0076054692986957 -0.9880558541304347 -0.9779839554347827 -0.9875182117391306 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.9857420278260868 -0.9789195269565220 -0.9598037086956522 -0.0936328412826087 -0.0415602029130435 -0.0435850966500000 -0.9897090230434782 -0.9908896147826087 -0.9855423256521740 -0.9678936239130437 -0.9530814441304346 -0.9678936239130437 -0.9530814441304346 -0.9867747130434783 -0.9844758680434780 -0.9460350871739130 -0.9613136241304351 -0.9910814939130431 -0.9895949195652173 -0.9858038406521743 -0.9573434984782609 -0.9701621726086959 -0.9873620899999999 -0.9500737541304349 -0.9568628641304346 0.0851928207100000 0.1501939561630435 0.0960646759586956 -0.9878487936956519 -0.9771397028260873 -0.9851290502173914 -0.9894591073913040 -0.9808042284782609 -0.9885708041304350 0.3055468180847826 0.0262448647134783 0.0929030630369565 -0.9826213895652174 -0.9821009236956521 -0.9598148223913046 -0.9868085015217392 -0.9773561886956521 -0.9635226597826088 0.1305231208913044 -0.1921427379130436 0.0409472348676087 -0.9612737482608693 -0.9555756021739129 0.1309342028543478 -0.9838746989130438 -0.9841241858695654 0.2800624239565218 -0.9718405960869565 -0.9613857452173911 -0.1063589091739130 -0.9898619508695651 -0.9896329089130436 0.1947221493000000
2 STANDING 0.2779114722222223 -0.0184208270166667 -0.1059085360555556 -0.9872718892592593 -0.9573049892592592 -0.9497418512962962 0.8969285668518517 -0.3700626968518518 0.1297471612222223 -0.9866858187037039 -0.9741944203703707 -0.9459270787037036 0.0747588597592592 0.0103291774794444 -0.0083715884672222 -0.9810857155555558 -0.9710594396296299 -0.9828414464814814 -0.0238623875712963 -0.0820396577592592 0.0878351695481481 -0.9729986298148147 -0.9714419964814816 -0.9648567018518519 -0.1055621578888889 -0.0422419535370370 -0.0546539479425926 -0.9793240007407407 -0.9834472585185189 -0.9736101183333333 -0.9658751812962962 -0.9578749650000000 -0.9658751812962962 -0.9578749650000000 -0.9804890774074074 -0.9766752801851852 -0.9634663418518516 -0.9539433803703706 -0.9839519042592594 -0.9772044277777778 -0.9839467398148150 -0.9598716974074073 -0.9624711957407409 -0.9890564698148151 -0.9579088422222221 -0.9464335835185187 0.1085191829240740 0.0623378066683333 0.1044624996018519 -0.9809732416666668 -0.9708513379629630 -0.9797751520370369 -0.9830079237037042 -0.9735202411111111 -0.9845999051851855 0.3314492814814815 -0.0569368291814815 0.0396498183462963 -0.9670371120370375 -0.9725761529629625 -0.9606276961111111 -0.9749881246296298 -0.9710360503703704 -0.9697542957407409 -0.1074160450740741 -0.1711603700962963 0.0002268106107407 -0.9640521664814814 -0.9605193814814815 0.1196499639037037 -0.9770652955555554 -0.9751604600000002 0.3048718652185186 -0.9617759048148147 -0.9567887257407406 -0.0661266045796296 -0.9778498274074072 -0.9777542981481480 0.1606628239259259
2 WALKING 0.2764265864406780 -0.0185949199145763 -0.1055003579661016 -0.4236428384745763 -0.0780912533118644 -0.4252575249152543 0.9130173333898308 -0.3466070900000000 0.0847270871186441 -0.9726932013559323 -0.9721168796610168 -0.9720728476271188 0.0618080696279661 0.0182492679288136 0.0078953370661017 -0.2775304626203390 -0.0166022362847458 -0.5860904189830510 -0.0530258157347458 -0.0482382316949152 0.0828336633220339 -0.5615502557627119 -0.5384536677966100 -0.4810855350847456 -0.0818833429152543 -0.0538299449067797 -0.0514939156830509 -0.3895498315254236 -0.6341404361016950 -0.4354926772881358 -0.2904075937288135 -0.4225441693220338 -0.2904075937288135 -0.4225441693220338 -0.2814241538813559 -0.1641509851271186 -0.4465490928813560 -0.5530199162711864 -0.5479119503389830 -0.5577981513559322 -0.3460481610169491 -0.0219048103322034 -0.4538063698305085 -0.4576513837288134 -0.1692196862033899 -0.4552221464406779 -0.1457954897033898 0.1985864665084745 0.0688995208186441 -0.3046153228813559 -0.0787640836610169 -0.5549567096610172 -0.3143130634067795 -0.0153329520084746 -0.6158981884745762 -0.0727101584479661 -0.2635740181864406 -0.2548464387559322 -0.4297135361016948 -0.5547721122033900 -0.3966599074576271 -0.6040530191525425 -0.5330469525423731 -0.5598566350847459 0.0072796798847458 -0.0427009322372881 0.1397521152694915 -0.3242894279322036 -0.5771052116949150 0.3932062083050847 -0.1690643528135594 -0.1640919694491526 0.2075009267033898 -0.5307048147457626 -0.6517928396610171 0.3052838252542373 -0.5832492933898307 -0.5581045547457629 0.1263446144394915
